====================================================================================================
CARE MANAGEMENT BCM - RAW DUMP FOR MANUAL JSON CONSTRUCTION
====================================================================================================

Column thresholds: Q (0-155), L1 (155-261), L2 (261-371), L3 (371-487), L4 (487-597), L5 (597-800)


================================================================================
PAGE 1
================================================================================
[Q  ] x=  72.0 y=  44.4 | Part I Part 1 - Business Architecture
[L4 ] x= 516.3 y=  44.4 | Appendix D - Business Capability Matrix
[L5 ] x= 675.9 y=  59.1 | Details
[L5 ] x= 612.8 y= 524.4 | Part I, Appendix D - Page 41
[L5 ] x= 679.5 y= 533.5 | May 2014
[L5 ] x= 674.3 y= 542.8 | Version 3.0
[Q  ] x=  72.0 y= 122.9 | Case Management
[Q  ] x=  72.0 y= 157.0 | Establish Case
[Q  ] x=  77.4 y= 190.1 | CM – Case Management
[L2 ] x= 356.9 y= 215.2 | Establish Case
[Q  ] x=  77.4 y= 240.5 | Capability
[Q  ] x=  77.4 y= 253.1 | Question
[L1 ] x= 185.4 y= 240.5 | Level 1
[L2 ] x= 293.3 y= 240.5 | Level 2
[L3 ] x= 401.5 y= 240.5 | Level 3
[L4 ] x= 509.4 y= 240.5 | Level 4
[L5 ] x= 617.5 y= 240.5 | Level 5
[Q  ] x=  77.8 y= 278.2 | Business Capability Descriptions
[Q  ] x=  77.4 y= 302.2 | Is the process
[Q  ] x=  77.4 y= 313.7 | primarily manual or
[Q  ] x=  77.4 y= 325.3 | automatic?
[L1 ] x= 185.4 y= 302.3 | The process consists
[L1 ] x= 185.4 y= 313.8 | primarily of manual
[L1 ] x= 185.4 y= 325.4 | activity to accomplish
[L1 ] x= 185.4 y= 336.8 | tasks.
[L2 ] x= 293.3 y= 302.3 | SMA uses a mix of
[L2 ] x= 293.3 y= 313.8 | manual and
[L2 ] x= 293.3 y= 325.4 | automatic processes
[L2 ] x= 293.3 y= 336.8 | to accomplish tasks.
[L3 ] x= 401.5 y= 302.3 | SMA automates
[L3 ] x= 401.5 y= 313.8 | process to the full
[L3 ] x= 401.5 y= 325.4 | extent possible within
[L3 ] x= 401.5 y= 336.8 | the intrastate and
[L3 ] x= 401.5 y= 348.3 | targets members for
[L3 ] x= 401.5 y= 359.8 | assessments,
[L3 ] x= 401.5 y= 371.3 | treatment plans and
[L3 ] x= 401.5 y= 382.9 | outcome tracking,
[L3 ] x= 401.5 y= 394.4 | and disease
[L3 ] x= 401.5 y= 405.8 | management.
[L3 ] x= 401.5 y= 417.3 | SMA exchanges
[L3 ] x= 401.5 y= 428.8 | clinical information
[L3 ] x= 401.5 y= 440.3 | within a state Health
[L3 ] x= 401.5 y= 451.9 | Information
[L3 ] x= 401.5 y= 463.4 | Exchange (HIE).
[L4 ] x= 509.4 y= 302.3 | SMA automates
[L4 ] x= 509.4 y= 313.8 | process to the full
[L4 ] x= 509.4 y= 325.4 | extent possible within
[L4 ] x= 509.4 y= 336.8 | the region and targets
[L4 ] x= 509.4 y= 348.3 | members for
[L4 ] x= 509.4 y= 359.8 | assessments,
[L4 ] x= 509.4 y= 371.3 | treatment plans and
[L4 ] x= 509.4 y= 382.9 | outcome tracking,
[L4 ] x= 509.4 y= 394.4 | and disease
[L4 ] x= 509.4 y= 405.8 | management.
[L4 ] x= 509.4 y= 417.3 | SMA exchanges
[L4 ] x= 509.4 y= 428.8 | clinical information
[L4 ] x= 509.4 y= 440.3 | via a regional Health
[L4 ] x= 509.4 y= 451.9 | Information Exchange
[L4 ] x= 509.4 y= 463.4 | (HIE).
[L5 ] x= 617.5 y= 302.3 | SMA automates
[L5 ] x= 617.5 y= 313.8 | process to the full
[L5 ] x= 617.5 y= 325.4 | extent possible
[L5 ] x= 617.5 y= 336.8 | nationally and targets
[L5 ] x= 617.5 y= 348.3 | members for
[L5 ] x= 617.5 y= 359.8 | assessments,
[L5 ] x= 617.5 y= 371.3 | treatment plans and
[L5 ] x= 617.5 y= 382.9 | outcome tracking,
[L5 ] x= 617.5 y= 394.4 | and disease
[L5 ] x= 617.5 y= 405.8 | management.
[L5 ] x= 617.5 y= 417.3 | SMA exchanges
[L5 ] x= 617.5 y= 428.8 | clinical information
[L5 ] x= 617.5 y= 440.3 | nationally via the
